conference,team
Atlantic Coast,Notre Dame
Atlantic Coast,Clemson
Atlantic Coast,Miami (FL)
Atlantic Coast,North Carolina
Atlantic Coast,North Carolina State
Atlantic Coast,Boston College
Atlantic Coast,Pittsburgh
Atlantic Coast,Virginia Tech
Atlantic Coast,Virginia
Atlantic Coast,Wake Forest
Atlantic Coast,Georgia Tech
Atlantic Coast,Louisville
Atlantic Coast,Florida State
Atlantic Coast,Duke
Atlantic Coast,Syracuse
American Athletic Conference,Cincinnati
American Athletic Conference,Tulsa
American Athletic Conference,Memphis
American Athletic Conference,UCF
American Athletic Conference,SMU
American Athletic Conference,Houston
American Athletic Conference,Navy
American Athletic Conference,Tulane
American Athletic Conference,East Carolina
American Athletic Conference,Temple
American Athletic Conference,South Florida
Big 12,Iowa State
Big 12,Oklahoma
Big 12,Oklahoma State
Big 12,Texas
Big 12,TCU
Big 12,West Virginia
Big 12,Kansas State
Big 12,Texas Tech
Big 12,Baylor
Big 12,Kansas
Big Ten,Indiana
Big Ten,Ohio State
Big Ten,Penn State
Big Ten,Rutgers
Big Ten,Maryland
Big Ten,Michigan
Big Ten,Michigan State
Big Ten,Northwestern
Big Ten,Iowa
Big Ten,Wisconsin
Big Ten,Minnesota
Big Ten,Nebraska
Big Ten,Purdue
Big Ten,Illinois
Conference USA,Marshall
Conference USA,Florida Atlantic
Conference USA,Western Kentucky
Conference USA,Charlotte
Conference USA,Middle Tennessee
Conference USA,Florida International
Conference USA,UTSA
Conference USA,Louisiana Tech
Conference USA,UAB
Conference USA,North Texas
Conference USA,Rice
Conference USA,Southern Miss
Conference USA,UTEP
Independents(FBS),Brigham Young
Independents(FBS),Liberty
Independents(FBS),Army
Independents(FBS),Massachusetts
Mid-American,Ball State
Mid-American,Toledo
Mid-American,Western Michigan
Mid-American,Central Michigan
Mid-American,Eastern Michigan
Mid-American,Northern Illinois
Mid-American,Buffalo
Mid-American,Kent State
Mid-American,Miami (OH)
Mid-American,Ohio
Mid-American,Akron
Mid-American,Bowling Green
Mountain West,San Jose State
Mountain West,Nevada
Mountain West,San Diego State
Mountain West,Hawaii
Mountain West,Fresno State
Mountain West,UNLV
Mountain West,Boise State
Mountain West,Air Force
Mountain West,Wyoming
Mountain West,New Mexico
Mountain West,Colorado State
Mountain West,Utah State
Pac-12,USC
Pac-12,Colorado
Pac-12,Utah
Pac-12,UCLA
Pac-12,Arizona State
Pac-12,Arizona
Pac-12,Stanford
Pac-12,Washington
Pac-12,Oregon
Pac-12,Oregon State
Pac-12,California
Pac-12,Washington State
Southeastern,Alabama
Southeastern,Texas A&M
Southeastern,Auburn
Southeastern,LSU
Southeastern,Ole Miss
Southeastern,Arkansas
Southeastern,Mississippi State
Southeastern,Florida
Southeastern,Georgia
Southeastern,Missouri
Southeastern,Kentucky
Southeastern,Tennessee
Southeastern,South Carolina
Southeastern,Vanderbilt
Sun Belt,Coastal Carolina
Sun Belt,Appalachian State
Sun Belt,Georgia Southern
Sun Belt,Georgia State
Sun Belt,Troy
Sun Belt,Louisiana-Lafayette
Sun Belt,South Alabama
Sun Belt,Arkansas State
Sun Belt,Texas State
Sun Belt,Louisiana-Monroe
