week,date,winner_team,winner_score,winner_rank,winner_side,winner_primary_color,winner_secondary_color,loser_team,loser_score,loser_rank,loser_side,loser_primary_color,loser_secondary_color,winner_team_clean,loser_team_clean,winner_conference,loser_conference
1,"Saturday, August 24, 2019",Florida,24,8.0,home,#003087,#00266c,Miami (FL),20,,away,#154734,#103829,Florida,Miami (FL),Southeastern,Atlantic Coast
1,"Saturday, August 24, 2019",Hawaii,45,,home,#154734,#103829,Arizona,38,,away,#00205B,#001948,Hawaii,Arizona,Mountain West,Pac-12
1,"Thursday, August 29, 2019",Buffalo,38,,home,#0057B8,#004593,Robert Morris,10,,away,#041E42,#031834,Buffalo,Robert Morris,Mid-American,
1,"Thursday, August 29, 2019",Cincinnati,24,,home,#C8102E,#a00c24,UCLA,14,,away,#0072CE,#005ba4,Cincinnati,UCLA,American Athletic Conference,Pac-12
1,"Thursday, August 29, 2019",Bowling Green,46,,home,#FE5000,#cb4000,Morgan St.,3,,away,#FC4C02,#c93c01,Bowling Green,Morgan State,Mid-American,
1,"Thursday, August 29, 2019",UConn,24,,home,#0C2340,#091c33,Wagner,21,,away,#034638,#02382c,Connecticut,Wagner,,
1,"Thursday, August 29, 2019",Charlotte,49,,home,#046A38,#03542c,Gardner-Webb,28,,away,#A6192E,#841424,Charlotte,Gardner-Webb,Conference USA,
1,"Thursday, August 29, 2019",Central Ark.,35,,away,#582C83,#462368,Western Ky.,28,,home,#C8102E,#a00c24,Central Ark.,Western Kentucky,,Conference USA
1,"Thursday, August 29, 2019",UCF,62,17.0,home,#010101,#000,Florida A&M,0,,away,#FF8200,#cc6800,UCF,Florida A&M,American Athletic Conference,
1,"Thursday, August 29, 2019",Tulane,42,,home,#006747,#005238,FIU,14,,away,#041E42,#031834,Tulane,Florida International,American Athletic Conference,Conference USA
1,"Thursday, August 29, 2019",UAB,24,,home,#006341,#004f34,Alabama St.,19,,away,#010101,#000,UAB,Alabama State,Conference USA,
1,"Thursday, August 29, 2019",Central Mich.,38,,home,#6F263D,#581e30,Albany (NY),21,,away,#512D6D,#402457,Central Michigan,Albany (NY),Mid-American,
1,"Thursday, August 29, 2019",Clemson,52,1.0,home,#FF6720,#cc5219,Georgia Tech,14,,away,#B3A369,#8f8254,Clemson,Georgia Tech,Atlantic Coast,Atlantic Coast
1,"Thursday, August 29, 2019",Texas A&M,41,12.0,home,#500000,#400000,Texas St.,7,,away,#572932,#452028,Texas A&M,Texas State,Southeastern,Sun Belt
